case_id,start,end,cycle_time_h
296,2018-01-07 20:17:21.382760,2018-01-07 21:47:27.014371,1.5015643363888889
297,2018-01-07 20:18:34.883650,2018-01-10 08:00:00.000000,59.69031009722222
298,2018-01-07 21:01:39.468626,2018-01-07 22:56:17.161836,1.9104703361111113
299,2018-01-07 21:21:02.132650,2018-01-07 22:56:31.908239,1.5916043302777778
300,2018-01-07 21:25:22.804422,2018-01-10 08:00:00.000000,58.57699877166667
301,2018-01-07 22:12:09.432191,2018-01-08 00:13:39.836632,2.0251123447222223
302,2018-01-07 22:17:24.761837,2018-01-08 00:21:01.154015,2.0601089383333333
303,2018-01-07 22:24:58.494049,2018-01-10 08:00:00.000000,57.58375165305556
304,2018-01-07 22:35:37.897951,2018-01-07 23:16:30.619841,0.681311636111111
305,2018-01-07 22:37:15.361103,2018-01-08 00:32:17.581667,1.91728349
306,2018-01-07 22:54:49.395274,2018-01-10 08:00:00.000000,57.08627909055555
307,2018-01-07 22:55:04.887363,2018-01-08 00:44:56.908571,1.8311170022222223
308,2018-01-07 22:57:39.548092,2018-01-10 08:00:00.000000,57.03901441888888
309,2018-01-07 23:07:53.606417,2018-01-08 01:12:10.000680,2.071220628611111
310,2018-01-07 23:09:34.726418,2018-01-08 01:34:01.881016,2.4075429438888887
311,2018-01-07 23:27:00.708727,2018-01-08 02:56:10.162774,3.4859594575
312,2018-01-07 23:27:11.257926,2018-01-10 08:00:00.000000,56.54687279833333
313,2018-01-07 23:28:00.513484,2018-01-10 08:00:00.000000,56.53319069888889
314,2018-01-07 23:30:24.367651,2018-01-08 02:48:44.488923,3.305589242222222
315,2018-01-07 23:42:00.979393,2018-01-08 02:09:07.843264,2.4519066308333333
316,2018-01-07 23:42:46.175752,2018-01-08 03:17:39.576431,3.5815001886111113
317,2018-01-07 23:45:31.659763,2018-01-08 03:19:14.403301,3.5618732050000004
318,2018-01-07 23:47:32.798358,2018-01-08 03:45:41.516972,3.9690885038888886
319,2018-01-07 23:54:00.231657,2018-01-08 03:16:14.361525,3.37059163
320,2018-01-07 23:55:32.143749,2018-01-10 08:00:00.000000,56.074404514166666
321,2018-01-08 00:02:01.119623,2018-01-10 08:00:00.000000,55.96635566027778
322,2018-01-08 00:58:19.599155,2018-01-10 08:00:00.000000,55.02788912361111
323,2018-01-08 09:00:00.000000,2018-01-12 09:52:08.220072,96.86895002
324,2018-01-08 09:00:00.000000,2018-01-12 13:41:37.780941,100.69382803916666
325,2018-01-08 09:00:00.000000,2018-01-13 13:00:00.000000,124.0
326,2018-01-08 09:00:00.000000,2018-01-13 13:00:00.000000,124.0
327,2018-01-08 09:00:00.000000,2018-01-13 18:00:00.000000,129.0
328,2018-01-08 09:00:00.000000,2018-01-12 12:39:49.452628,99.66373684111112
329,2018-01-08 10:00:00.000000,2018-01-12 12:51:13.815935,98.85383775972223
330,2018-01-08 10:00:00.000000,2018-01-12 16:37:42.052484,102.62834791222222
331,2018-01-08 10:00:00.000000,2018-01-13 18:00:00.000000,128.0
332,2018-01-08 10:00:00.000000,2018-01-12 13:18:55.411642,99.31539212277778
333,2018-01-08 10:00:00.000000,2018-01-13 18:00:00.000000,128.0
334,2018-01-08 10:00:00.000000,2018-01-13 18:00:00.000000,128.0
335,2018-01-08 11:00:00.000000,2018-01-13 13:00:00.000000,122.0
336,2018-01-08 11:00:00.000000,2018-01-12 10:10:23.001751,95.17305604194445
337,2018-01-08 12:00:00.000000,2018-01-13 13:00:00.000000,121.0
338,2018-01-08 12:00:00.000000,2018-01-14 11:39:00.883072,143.6502452977778
339,2018-01-08 12:00:00.000000,2018-01-13 08:00:00.000000,116.0
340,2018-01-08 12:00:00.000000,2018-01-13 08:00:00.000000,116.0
341,2018-01-08 13:00:00.000000,2018-01-13 08:00:00.000000,115.0
342,2018-01-08 13:00:00.000000,2018-01-13 08:00:00.000000,115.0
343,2018-01-08 13:00:00.000000,2018-01-13 08:00:00.000000,115.0
344,2018-01-08 13:00:00.000000,2018-01-13 08:00:00.000000,115.0
345,2018-01-08 13:00:00.000000,2018-01-13 08:00:00.000000,115.0
